line_no,chunk_id,direction,bytes,rms,event_note
16,,session,,,live session voice=Leda lang=id-ID session=web-97421f04
19,1,client,3200,0.0009,
21,1,gemini,3200,0.0009,
22,1,model_out,2,,forward mode=allow
23,2,model_out,4320,,forward mode=allow
24,3,model_out,7680,,forward mode=allow
25,10,model_out,13440,,forward mode=allow
26,,gate,,,greeting_complete gate_closed
28,10,client,3200,0.0009,
29,10,gemini,3200,0.0009,
30,25,client,3200,0.0732,
31,26,client,3200,0.0944,rms_spike
32,27,client,3200,0.0824,rms_spike
33,28,client,3200,0.0523,
34,29,client,3200,0.0306,
35,30,client,3200,0.0356,
36,,asr,,,transcript_partial:Halo.
37,50,client,3200,0.0016,
38,50,gemini,3200,0.0016,
39,1,model_out,,,suppress chunks=1 total=1 mode=suppress
40,2,model_out,,,suppress chunks=1 total=2 mode=suppress
41,3,model_out,,,suppress chunks=1 total=3 mode=suppress
42,,asr,,,FINAL_MISSING reason=suppressed_audio text=Halo.
43,,gov,,,gov raw=RESPOND eff=RESPOND steer=engine llm=False play=True
44,,gemini,,,interrupted_flag keep_playback
45,,gate,,,gate_hold seen=False
46,20,model_out,9600,,forward mode=engine
47,30,model_out,3840,,forward mode=engine
48,100,gemini,3200,0.0016,
49,105,client,3200,0.0315,
50,106,client,3200,0.0718,
51,107,client,3200,0.1211,rms_spike
52,108,client,3200,0.0738,
53,109,client,3200,0.0825,rms_spike
54,110,client,3200,0.0387,
55,,asr,,,transcript_partial:semuanya
56,10,model_out,,,suppress chunks=1 total=10 mode=suppress
57,,asr,,,FINAL_MISSING reason=suppressed_audio text=semuanya
58,,gov,,,gov raw=ACK_ONLY eff=ACK_ONLY steer=engine llm=False play=True
59,,gemini,,,interrupted_flag keep_playback
60,,gate,,,gate_hold seen=True
61,40,model_out,9600,,forward mode=engine
62,50,model_out,9600,,forward mode=engine
63,171,client,3200,0.0361,
64,172,client,3200,0.0475,
65,173,client,3200,0.0481,
66,174,client,3200,0.0638,
67,175,client,3200,0.1056,rms_spike
68,176,client,3200,0.026,
69,177,client,3200,0.0493,
70,178,client,3200,0.0329,
71,179,client,3200,0.0352,
72,180,client,3200,0.078,
73,181,client,3200,0.0603,
74,182,client,3200,0.0617,
75,183,client,3200,0.027,
76,184,client,3200,0.0295,
77,,asr,,,transcript_partial:Ada 100 pertanyaan.
78,20,model_out,,,suppress chunks=1 total=20 mode=suppress
79,200,gemini,3200,0.0009,
80,,asr,,,FINAL_MISSING reason=suppressed_audio text=Ada 100 pertanyaan.
81,,gov,,,gov raw=ACK_ONLY eff=ACK_ONLY steer=engine llm=False play=True
82,,gemini,,,interrupted_flag keep_playback
83,,gate,,,gate_hold seen=True
84,60,model_out,9600,,forward mode=engine
85,70,model_out,11520,,forward mode=engine
86,230,client,3200,0.0595,
87,231,client,3200,0.0874,rms_spike
88,232,client,3200,0.1008,rms_spike
89,233,client,3200,0.0395,
90,234,client,3200,0.0954,rms_spike
91,235,client,3200,0.0486,
92,236,client,3200,0.0573,
93,237,client,3200,0.1535,rms_spike
94,238,client,3200,0.0817,rms_spike
95,239,client,3200,0.0492,
96,,asr,,,transcript_partial:nomor satu
97,30,model_out,,,suppress chunks=1 total=30 mode=suppress
98,257,client,3200,0.0617,
99,258,client,3200,0.0528,
100,259,client,3200,0.0429,
101,260,client,3200,0.0354,
102,261,client,3200,0.0415,
103,40,model_out,,,suppress chunks=1 total=40 mode=suppress
104,262,client,3200,0.0628,
105,264,client,3200,0.0422,
106,,asr,,,FINAL_MISSING reason=turn_complete text=nomor satu
107,,gate,,,gate_hold seen=False
108,,gov,,,gov raw=ACK_ONLY eff=ACK_ONLY steer=engine llm=False play=True
109,80,model_out,2910,,forward mode=engine
110,90,model_out,13440,,forward mode=engine
111,300,gemini,3200,0.0016,
112,305,client,3200,0.0864,rms_spike
113,306,client,3200,0.0704,
114,307,client,3200,0.0884,rms_spike
115,308,client,3200,0.0594,
116,309,client,3200,0.0429,
117,310,client,3200,0.0697,
118,311,client,3200,0.0932,rms_spike
119,312,client,3200,0.027,
120,313,client,3200,0.0808,rms_spike
121,314,client,3200,0.1089,rms_spike
122,315,client,3200,0.0743,
123,316,client,3200,0.0759,
124,317,client,3200,0.0226,
125,,asr,,,transcript_partial:Namamu siapa?
126,,asr,,,FINAL_MISSING reason=suppressed_audio text=Namamu siapa?
127,,gov,,,gov raw=RESPOND eff=RESPOND steer=engine llm=False play=True
128,,gemini,,,interrupted_flag keep_playback
129,,gate,,,gate_hold seen=True
130,100,model_out,7680,,forward mode=engine
131,110,model_out,11520,,forward mode=engine
132,362,client,3200,0.0551,
133,363,client,3200,0.0936,rms_spike
134,364,client,3200,0.0911,rms_spike
135,365,client,3200,0.1063,rms_spike
136,366,client,3200,0.0236,
137,367,client,3200,0.0457,
138,368,client,3200,0.0386,
139,369,client,3200,0.0416,
140,370,client,3200,0.0681,
141,371,client,3200,0.0385,
142,372,client,3200,0.0257,
143,,asr,,,transcript_partial:Jam berapa sekarang?
144,383,client,3200,0.0273,
145,50,model_out,,,suppress chunks=1 total=50 mode=suppress
146,,asr,,,FINAL_MISSING reason=suppressed_audio text=Jam berapa sekarang?
147,,gov,,,gov raw=RESPOND eff=RESPOND steer=engine llm=False play=True
148,,gemini,,,interrupted_flag keep_playback
149,,gate,,,gate_hold seen=True
150,120,model_out,11520,,forward mode=engine
151,130,model_out,15360,,forward mode=engine
152,140,model_out,5760,,forward mode=engine
153,400,gemini,3200,0.0013,
154,408,client,3200,0.0498,
155,409,client,3200,0.0485,
156,410,client,3200,0.0704,
157,411,client,3200,0.049,
158,412,client,3200,0.0727,
159,413,client,3200,0.0674,
160,414,client,3200,0.0571,
161,415,client,3200,0.0715,
162,416,client,3200,0.0634,
163,417,client,3200,0.0211,
164,419,client,3200,0.0278,
165,,asr,,,transcript_partial:100 saja langsung.
166,60,model_out,,,suppress chunks=1 total=60 mode=suppress
167,,asr,,,FINAL_MISSING reason=suppressed_audio text=100 saja langsung.
168,,gov,,,gov raw=ACK_ONLY eff=ACK_ONLY steer=engine llm=False play=True
169,,gemini,,,interrupted_flag keep_playback
170,,gate,,,gate_hold seen=True
171,150,model_out,9600,,forward mode=engine
172,160,model_out,1920,,forward mode=engine
173,170,model_out,1920,,forward mode=engine
174,500,gemini,3200,0.001,
175,534,client,3200,0.0877,rms_spike
176,535,client,3200,0.0624,
177,536,client,3200,0.0593,
178,537,client,3200,0.1176,rms_spike
179,538,client,3200,0.0423,
180,539,client,3200,0.0953,rms_spike
181,540,client,3200,0.0877,rms_spike
182,541,client,3200,0.0652,
183,542,client,3200,0.0537,
184,543,client,3200,0.0747,
185,544,client,3200,0.0391,
186,,asr,,,transcript_partial:nomor berapa lagi?
187,70,model_out,,,suppress chunks=1 total=70 mode=suppress
188,,asr,,,FINAL_MISSING reason=suppressed_audio text=nomor berapa lagi?
189,,gov,,,gov raw=RESPOND eff=RESPOND steer=engine llm=False play=True
190,,gemini,,,interrupted_flag keep_playback
191,,gate,,,gate_hold seen=True
192,180,model_out,9600,,forward mode=engine
193,190,model_out,5760,,forward mode=engine
194,200,model_out,5760,,forward mode=engine
195,600,gemini,3200,0.0017,
196,611,client,3200,0.0465,
197,618,client,3200,0.0354,
198,663,client,3200,0.0287,
199,700,gemini,3200,0.003,
200,717,client,3200,0.034,
201,718,client,3200,0.0241,
202,719,client,3200,0.0226,
203,726,client,3200,0.0232,
204,730,client,3200,0.0389,
205,742,client,3200,0.0642,
206,743,client,3200,0.0424,
207,744,client,3200,0.0234,
208,745,client,3200,0.035,
209,751,client,3200,0.0263,
210,752,client,3200,0.025,
211,764,client,3200,0.0599,
212,765,client,3200,0.0232,
213,766,client,3200,0.0322,
214,767,client,3200,0.0362,
215,768,client,3200,0.0339,
216,769,client,3200,0.0403,
